"date","actual_level","point_forecast","lower_95","upper_95","cumulative_change_check"
2023-01-01,81.12171867028,80.0743291481559,72.0599606031049,88.0886976932068,80.0743290414177
2023-02-01,77.7146984811964,79.6231125165159,66.3633859424685,92.8828390905634,79.6231123503577
2023-03-01,71.9950211617991,79.5615812822636,62.0916101983616,97.0315523661656,79.5615810975876
2023-04-01,78.3545612271369,79.624003588004,58.6355867764001,100.612420399608,79.6240034060434
2023-05-01,69.9761691285447,79.7258538019486,55.6895713521133,103.762136251784,79.7258536320731
2023-06-01,65.7678725622626,79.8402454886536,53.0898395352744,106.590651442033,79.8402453346753
2023-07-01,72.8884903116735,79.9586264445377,50.7418409796576,109.175411909418,79.958626307934
2023-08-01,80.5257437193373,80.0782763318214,48.5867069916107,111.569845672032,80.0782762131464
2023-09-01,92.799758122037,80.1983298486485,46.5852807896153,113.811378907682,80.1983297481052
2023-10-01,85.0763235606666,80.3185117544558,44.7100650852655,115.926958423646,80.3185116721173
2023-11-01,80.0077408940649,80.4387344990234,42.9408961769567,117.93657282109,80.4387344349157
2023-12-01,77.2482101257691,80.5589702338364,41.2624701499943,119.855470317679,80.5589701879686
2024-01-01,77.2248219686306,80.679210100667,39.66284554997,121.695574651364,80.6792100730422
2024-02-01,78.1504555709214,80.7994512818352,38.1324913788999,123.466411184771,80.7994512724545
2024-03-01,79.9736457795885,80.9196928810761,36.6636560701456,125.175729692007,80.91969288994
2024-04-01,83.2962148444039,81.0399346133001,35.2499343122886,126.829934914312,81.0399346404086
2024-05-01,78.2570013557632,81.1601763878243,33.885960762477,128.434392013171,81.1601764331775
2024-06-01,75.3718781419391,81.2804181758034,32.5671879495588,129.993648402048,81.2804182394014
2024-07-01,78.841409179048,81.4006599680625,31.2897216874062,131.511598248719,81.4006600499051
2024-08-01,75.5470702287863,81.520901761683,30.0501967759635,132.991606747402,81.5209018617703
2024-09-01,72.6252469510405,81.6411435557364,28.8456815527634,134.436605558709,81.6411436740685
2024-10-01,71.4052359337007,81.7613853499277,27.6736035087899,135.849167191065,81.7613854865044
