"Specification","Phi_hat","Standard_error","DF_statistic"
"Baseline",-0.000769223352021693,0.00375584374901867,-0.204807069575958
"Drift",-0.00983612503093335,0.00697628108285675,-1.40993817681806
"Drift and trend",-0.0234628718744346,0.0101558233993465,-2.31028750223684
