"Parameter","Estimate","Standard_error"
"ar1",1.32428728088689,0.119404201968822
"ar2",-1.32595586647151,0.114465297526058
"ar3",0.334605334700318,0.112340778796993
"ma1",-0.677864617832607,0.125184488040612
"ma2",0.706473979738814,0.094003409853744
"ma3",0.250258420201006,0.109144919834116
