"date","actual_change","point_forecast","lower_95","upper_95"
2023-01-01,-0.62892087405119,-1.67631050291353,-9.69067872007337,6.3380577142463
2023-02-01,-3.40702018908361,-0.451216691059978,-8.86125974804002,7.95882636592006
2023-03-01,-5.71967731939729,-0.0615312527701244,-8.51057603653837,8.38751353099812
2023-04-01,6.3595400653378,0.0624223084558525,-8.3905585996983,8.51540321661001
2023-05-01,-8.3783920985922,0.101850226029651,-8.35152883249351,8.55522928455281
2023-06-01,-4.2082965662821,0.114391702602254,-8.33902763926561,8.56781104447012
2023-07-01,7.1206177494109,0.11838097325868,-8.33504244442027,8.57180439093763
2023-08-01,7.63725340766381,0.119649905212433,-8.33377392485221,8.57307373527708
2023-09-01,12.2740144026997,0.120053534958804,-8.33337033683054,8.57347740674815
2023-10-01,-7.72343456137041,0.120181924012033,-8.33324195199897,8.57360580002304
2023-11-01,-5.0685826666017,0.120222762798415,-8.33320111363973,8.57364663923656
2023-12-01,-2.75953076829579,0.120235753052888,-8.33318812342847,8.57365962953425
2024-01-01,-0.0233881571385126,0.120239885073603,-8.33318399141213,8.57366376155934
2024-02-01,0.925633602290802,0.120241199412381,-8.3331826770738,8.57366507589856
2024-03-01,1.8231902086671,0.120241617485411,-8.33318225900081,8.57366549397164
2024-04-01,3.32256906481541,0.120241750468674,-8.33318212601755,8.5736656269549
2024-05-01,-5.03921348864071,0.120241792768815,-8.33318208371742,8.57366566925504
2024-06-01,-2.88512321382409,0.120241806223906,-8.33318207026232,8.57366568271014
2024-07-01,3.46953103710889,0.120241810503785,-8.33318206598245,8.57366568699002
2024-08-01,-3.2943389502617,0.120241811865156,-8.33318206462108,8.57366568835138
2024-09-01,-2.9218232777458,0.120241812298189,-8.33318206418804,8.57366568878442
2024-10-01,-1.2200110173398,0.120241812435931,-8.3331820640503,8.57366568892216
