"Model","Estimate","Std. Error","t value","Pr(>|t|)","Parameter"
"Linear trend",10.7755935325908,0.0136602882520805,788.826219018446,0,"(Intercept)"
"Linear trend",0.00211358871140988,0.0000518014599732922,40.8017208877821,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000569436813154861,"time"
"Quadratic trend",10.7364652613306,0.020421694745099,525.738211022239,0,"(Intercept)"
"Quadratic trend",0.00262618615149988,0.000206369583178293,12.7256454708783,0.0000000000000000000000000000000625253608959169,"time"
"Quadratic trend",-0.00000112165741814004,0.000000437295212786208,-2.56498901735844,0.0106389308026875,"time2"
