"Lag","ACF","Significant_95pct"
1,-0.00295862259505584,FALSE
2,0.00659752980697887,FALSE
3,0.0505020550124007,FALSE
4,-0.0936047791150539,TRUE
5,-0.0423106767355906,FALSE
6,-0.112060001340915,TRUE
7,-0.0672283861446808,FALSE
8,-0.119912772714374,TRUE
9,0.00968610975857359,FALSE
10,0.146738538729205,TRUE
11,0.0286846215504678,FALSE
12,0.187303482129482,TRUE
13,0.0495023082372436,FALSE
14,0.035570512844172,FALSE
15,-0.0323576583260819,FALSE
16,-0.0938921710196411,TRUE
17,-0.0530771403370237,FALSE
18,-0.126691287669715,TRUE
19,-0.0902061503887717,FALSE
20,-0.0277328076248742,FALSE
21,-0.00532823530572469,FALSE
22,0.0723209309738627,FALSE
23,0.0625621872994838,FALSE
24,0.139619802803276,TRUE
25,0.0364178473302188,FALSE
