"date","actual_log_elec","point_forecast","lower_95","upper_95"
2011-01-01,11.8848611866234,11.934077955525,11.8565155444185,12.0116403666316
2011-02-01,11.6962570115527,11.7852424517479,11.6928857696806,11.8775991338152
2011-03-01,11.5609611636498,11.6585047149107,11.5643429765316,11.7526664532899
2011-04-01,11.4478572248897,11.5021130648668,11.4078975929149,11.5963285368186
2011-05-01,11.4895384994017,11.4938326666981,11.3995580152175,11.5881073181787
2011-06-01,11.743899589166,11.7004104464562,11.6061026014097,11.7947182915027
2011-07-01,11.9494290955278,11.9203991708077,11.8260661377369,12.0147322038786
2011-08-01,11.9430090886147,11.9298450830381,11.8353750104673,12.024315155609
2011-09-01,11.7176575690084,11.7702816842582,11.6757637147287,11.8647996537878
2011-10-01,11.4572548567396,11.5562518549576,11.4617120685572,11.6507916413581
2011-11-01,11.4427201122964,11.5417896554917,11.4471189615204,11.6364603494631
2011-12-01,11.6642831680666,11.7813676953696,11.6866528648768,11.8760825258624
