"Statistic","Value"
"Mean",0.00023464540367489
"Median",0.000370310274160346
"Standard deviation",0.0179939831468871
"Skewness",0.0938497161529119
"Kurtosis",12.3539065170581
"Excess kurtosis",9.3539065170581
