"Lag","ACF","Significant_95pct"
1,0.542152304273662,TRUE
2,0.114384848284788,TRUE
3,-0.0978611257787458,TRUE
4,-0.171635318087595,TRUE
5,-0.088369855043783,FALSE
6,-0.0425105790858341,FALSE
7,-0.0840323004345511,FALSE
8,-0.17241747637398,TRUE
9,-0.108749749532852,TRUE
10,0.0740551467233283,FALSE
11,0.234508988076564,TRUE
12,0.349463760347426,TRUE
13,0.22404987623077,TRUE
14,0.00722206617811151,FALSE
15,-0.173610063190103,TRUE
16,-0.205534971895508,TRUE
17,-0.116548960855769,TRUE
18,-0.0750836789133233,FALSE
19,-0.0895215283472658,FALSE
20,-0.124709466772067,TRUE
21,-0.100746406389379,TRUE
22,0.042574533134771,FALSE
23,0.214879775733973,TRUE
24,0.312598862779522,TRUE
25,0.229568298409549,TRUE
