"Lag","ACF","Significant_95pct"
1,0.49330089817221,TRUE
2,-0.373688249528525,TRUE
3,-0.771829479108713,TRUE
4,-0.422763318325255,TRUE
5,0.315957460257581,TRUE
6,0.700033705985683,TRUE
7,0.314310983017402,TRUE
8,-0.415654320287104,TRUE
9,-0.755918381541616,TRUE
10,-0.364319116265754,TRUE
11,0.454194392167754,TRUE
12,0.894322439221505,TRUE
13,0.431525227341262,TRUE
14,-0.385856435223253,TRUE
15,-0.761311257920146,TRUE
16,-0.406534861230075,TRUE
17,0.314926083178464,TRUE
18,0.680009170038029,TRUE
19,0.299507447738388,TRUE
20,-0.408318299484584,TRUE
21,-0.740248363933063,TRUE
22,-0.354904176796812,TRUE
23,0.448253045385755,TRUE
24,0.871311253663207,TRUE
25,0.418612041123358,TRUE
