"AR","MA(0)","MA(1)","MA(2)","MA(3)"
"AR(0)",NA,-1591.30161947802,-1597.3285652826,-1595.58516809414
"AR(1)",-1578.18679571385,-1598.0647043811,-1592.5724256285,-1591.46973182493
"AR(2)",-1603.95639759513,-1600.32219745774,-1595.37092858503,-1609.20910206967
"AR(3)",-1599.35182631653,-1595.06714420249,-1592.01737033952,-1611.82414659901
