"AR","MA(0)","MA(1)","MA(2)","MA(3)"
"AR(0)",2562.09173313004,2530.05013278056,2523.49910114459,2529.591276976
"AR(1)",2521.32492862132,2526.61949447976,2529.59151386246,2528.36735393116
"AR(2)",2526.19043284357,2530.95970875594,2535.67713050062,2541.76432921096
"AR(3)",2529.35167841767,2530.17548068817,2535.56059063068,2540.30500878216
